ID,Company,Territory,Phone,Web,County,Address 1,Address 2,City,Post Code,Parent Account
1199,Acomb Primary School,,01904 798453,acomb.pmat.academy,,West Bank,,York,YO24 4ES,Pathfinder Multi Academy Trust
1344,Admiral Long School,,01423 770185,admirallong.n-yorks.sch.uk,North Yorkshire,Admiral's Way,Burnt Yates,Harrogate,HG3 3EJ,
1478,Agilico York,,11111,agilico.co.uk,,,,,,
1278,Alderman Cogan's CE Primary Academy,,01482 376203,aldermancogan.ebor.academy,East Yorkshire,Whitworth Street,,Hull,HU9 3HJ,Ebor Academy Trust
1475,All Saints Catholic Primary School,,01845 523058,allsaints.npcat.org.uk,,,,,YO7 1NB,
1211,All Saints RC School,,01904 647877,www.allsaints.york.sch.uk,,Mill Mount,,York,YO24 1BJ,
1279,All Saints’ Church of England Federation of Academies Hessle,,01482 648082,allsaints.ebor.academy,East Riding,Northolme Road,,Hessle,HU13 9JD,Ebor Academy Trust
1230,Applefields School,,01904 553900,applefieldsschool.co.uk,,Bad Bargain Lane,Burnholme,York,YO31 0LW,
1200,Archbishop Holgate's School,,01904 411341,ahs.pmat.academy,,Hull Road,,York,YO10 5ZA,Pathfinder Multi Academy Trust
1314,Archbishop of York's Church of England Junior School,,01904 551630,ayjs.co.uk/,,Copmanthorpe Lane,Bishopthorpe,York,YO23 2QT,
1311,Archbishop Sentamu Academy,,01482 781912,asa.hslt.academy,,1 Bilton Grove,,Hull,HU9 5YB,"Hope Learning Trust, York"
1374,Aspire Academy,,01482 318789,asp.hslt.academy,,351 Annandale Road,,Hull,HU9 5DE,"Hope Learning Trust, York"
1306,Badger Hill Primary Academy,,01904 806480,badgerhill.pmat.academy,,Crossways,,York,YO10 5JF,Pathfinder Multi Academy Trust
1393,Balcomm Ltd,,01753 654934,balcomm.co.uk,,Wellesley Avenue,Richings Park,,SL0 9AX,
1262,Baldersby St James Church of England Primary School,,01765 640277,bsj.hslt.academy,,Baldserby St James,,Thirsk,YO7 4PT,"Hope Learning Trust, York"
1308,Barkston Ash Catholic Primary School,,01937 557373,barkstonash.n-yorks.sch.uk,,London Road,,Tadcaster,LS24 9PS,
1139,Barlby High School,,01757 706161,bhs.hslt.academy,,York Road,Barlby,Selby,YO8 5JP,"Hope Learning Trust, York"
1345,Birstwith C of E Primary School,,01423 770554,birstwith.n-yorks.sch.uk,North Yorkshire,Wreaks Road,Birstwith,Harrogate,HG3 2NJ,
1231,Bishopthorpe Infant School,,01904 707506,bishopthorpeinfantschool.co.uk,,Sim Balk Lane,Bishopthorpe,York,YO23 2QQ,
1281,Braeburn Primary and Nursery Academy,,01723 582616,bra.ebor.academy,,Eastfield,,Scarborough,YO11 3LG,Ebor Academy Trust
1282,Brotherton and Byram Community Primary Academy,,01977 672676,bb.ebor.academy,,Low Street,,Knottingley,WF11 9HQ,Ebor Academy Trust
1317,Broughton Primary School,,01652 655711,www.broughtonprimaryschool.net,North Lincolnshire,Brigg Road,Broughton,Brigg,DN20 0JW,
1263,Burton Green Primary School,,01904 806293,bgp.hslt.academy,,Clifton,,York,YO30 6JE,"Hope Learning Trust, York"
1283,Camblesforth Community Primary Academy,,01757 616374,cp.ebor.academy,,Mill Lane,,Selby,YO8 8HW,Ebor Academy Trust
1232,Carr Infant School,,01904 565140,carrinfantschool.co.uk,,Ostman Road,,York,YO26 5QA,
1255,Carr Junior School,,01904 798996,carrjunior.southbank.academy,,Ostman Road,,York,YO26 5QA,South Bank Multi Academy Trust
1496,City of York Council,,01904 555522,,,West Offices,Station Rise,,YO1 6GA,
1233,Clifton Green Primary School,,01904 555105,cliftongreenprimary.co.uk,,Water Lane,,York,YO30 6JA,
1201,Clifton With Rawcliffe Primary School,,01904 806530,cwr.pmat.academy,,Eastholme Drive,,York,YO30 5TA,Pathfinder Multi Academy Trust
1378,Coast and Vale Learning Trust,,01723 362301,,,Fieldstead Crescent,,Scarborough,YO12 6TH,
1156,Colville Primary School,,01223 576246,colvilleschool.co.uk,Cambridgeshire,Colville Road,,Cambridge,CB1 9EJ,
1355,Compass Academy,,01482 331720,thecompassacademy.co.uk,,Snowdon Way,,Hull,HU7 5DS,"Hope Learning Trust, York"
1234,Copmanthorpe Primary School,,01904 554535,copmanthorpeprimary.co.uk,,Low Green,,York,YO23 3SB,
1462,Cyber Clan,,0800 048 7360,cyberclan.com,,,,,,
1235,Danesgate Community,,01904 642611,danesgatecommunity.org.uk,,Fulford Cross,,York,YO10 4PB,
1236,Dringhouses Primary School,,01904 553940,dringhouses.co.uk,,St Helen's Road,,York,YO24 1HW,
1284,Easington CofE Primary Academy,,01964 650214,ep.ebor.academy,,High Street,,Hull,HU12 0TS,Ebor Academy Trust
1237,Easingwold Community Primary School,,01347 821282,easingwoldprimary.co.uk,,Thirsk Road,,York,YO61 3HJ,
1285,Ebor Academy Filey,,01723 512354,fs.ebor.academy,,Muston Road,,Filey,YO14 0HG,Ebor Academy Trust
1210,Ebor Academy Trust,,01904 806806,ebor.academy,,The Leyes,,York,YO10 3PR,
1238,Elvington CofE VC Primary School,,01904 555280,elvingtonprimary.org.uk,,Dauby Lane,,York,YO41 4HP,
1300,Filey Church of England Nursery and Infants Academy,,01723 344649,fi.ebor.academy,,Padbury Avenue,,Filey,YO14 0BA,Ebor Academy Trust
1379,Filey School,,01723 512354,,,Muston Road,,Filey,YO14 0HG,Coast and Vale Learning Trust
1239,Fishergate Primary School,,01904 555335,fishergateschool.com,,Fishergate,,York,YO10 4AP,
1264,Forest of Galtres School,,01904 470272,fog.hslt.academy,,Station Lane,,York,YO30 1AG,"Hope Learning Trust, York"
1133,George Pinder School,,0,gps.hslt.academy,,,,,,"Hope Learning Trust, York"
1140,Graham School,,0,gra.hslt.academy,YO12 6QW,Woodlands Drive,Scarborough,North Yorkshire,,"Hope Learning Trust, York"
1240,Green Hammerton CofE Primary School,,01423 330314,greenhammertonprimary.co.uk,,York Road,,York,YO26 8BN,
1346,Green Lane Primary Academy,,01642 277407,greenlanemiddlesbrough.co.uk,,,,,TS5 7RU,
1286,Haxby Road Primary Academy,,01904 806620,hr.ebor.academy,,Haxby Road,,York,YO31 8JN,Ebor Academy Trust
1202,Hempland Primary Academy,,01904 806506,hempland.pmat.academy,,Whitby Avenue,,York,YO31 1ET,Pathfinder Multi Academy Trust
1203,Heworth CofE Primary Academy,,01904 806330,heworth.pmat.academy,,Heworth Road,,York,YO31 0AA,Pathfinder Multi Academy Trust
1307,Hilderthorpe Primary School,,01262 672475,hilderthorpeschool.co.uk,,Shaftesbury Rd,,Bridlington,YO15 3PP,
1287,Hob Moor Community Primary Academy,,01904 806655,hmp.ebor.academy,,Green Lane,,York,YO24 4PS,Ebor Academy Trust
1288,Hob Moor Oaks Academy,,01904 806655,hmo.ebor.academy,,Green Lane,,York,YO24 4PS,Ebor Academy Trust
1265,"Hope Learning Trust, York",,01904 560053,hslt.academy,,Rawcliffe Drive,,York,YO30 6ZS,
1367,Howitt Primary Community School,,01773 713217,howitt.derbyshire.sch.uk,,,,,,
1241,Huntington Primary Academy,,01904 947180,huntingtonprimary@york.gov.uk,,North Moor Road,,York,YO32 9QT,
1084,Huntington School,,1904752100,huntingtonschool.co.uk,,Huntington Road,Huntington,York,YO32 9WT,
1463,James Brindley Academy,,0121 666 6409,jamesbrindley.org.uk,,James Brindley Special Educational Needs Academy,,,B31 1LD,
